Timestamp,Hazard Type,Severity,Confidence,Latitude,Longitude
2026-09-05 23:17:27,Pothole,MINOR,0.58,16.181031,81.129949
2026-09-05 23:17:28,Pothole,MINOR,0.40,16.18035,81.130487
2026-09-05 23:17:29,Pothole,MINOR,0.45,16.180651,81.129851
2026-09-05 23:17:30,Pothole,CRITICAL,0.74,16.180836,81.12952
2026-09-05 23:17:31,Pothole,CRITICAL,0.76,16.181237,81.130213
2026-09-05 23:17:32,Pothole,CRITICAL,0.69,16.18014,81.13102
2026-09-05 23:17:33,Pothole,CRITICAL,0.77,16.180179,81.129729
2026-09-05 23:17:34,Pothole,CRITICAL,0.87,16.181073,81.130759
2026-09-05 23:17:35,Pothole,MINOR,0.33,16.180559,81.12959
2026-09-05 23:17:36,Pothole,CRITICAL,0.67,16.180642,81.130858
2026-09-05 23:17:37,Pothole,CRITICAL,0.77,16.180973,81.129758
2026-09-05 23:17:38,Pothole,CRITICAL,0.73,16.180505,81.13074
2026-09-05 23:17:39,Pothole,CRITICAL,0.82,16.18063,81.130542
2026-09-05 23:17:41,Pothole,MODERATE,0.37,16.181117,81.129614
2026-09-05 23:17:42,Pothole,CRITICAL,0.71,16.181179,81.130489
2026-09-05 23:17:44,Pothole,CRITICAL,0.79,16.181582,81.130509
